City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
330,saint-pierre,-21.3393,55.4781,20.82,83,75,5.66,RE,1688418250
331,olinda,-8.0089,-34.8553,25.85,78,75,4.63,BR,1688418250
332,mount pearl,47.5166,-52.7813,24.19,69,75,5.66,CA,1688418251
333,kiuruvesi,63.65,26.6167,11.65,97,98,3.78,FI,1688418251
334,ann arbor,42.2776,-83.7409,29.45,62,0,4.12,US,1688418252
335,les andelys,49.25,1.4167,17.71,75,6,3.45,FR,1688418252
336,kozienice,51.5829,21.5478,19.31,40,73,2.77,PL,1688418252
337,kwang binh,17.4833,106.6,28.44,72,100,4.36,VN,1688418252
338,broome,42.2506,-75.833,25.81,86,100,2.57,US,1688418253
339,suva,-18.1416,178.4415,23.71,78,75,0.0,FJ,1688418254
340,dawson creek,55.7666,-120.2362,14.8,88,100,3.09,CA,1688418255
341,magong,23.5654,119.5863,28.46,84,21,6.17,TW,1688418257
342,labytnangi,66.6572,66.4183,16.03,92,31,1.42,RU,1688418257
343,happy valley-goose bay,53.3168,-60.3315,25.17,69,75,2.06,CA,1688418258
344,vihti,60.417,24.3197,14.18,95,100,3.13,FI,1688418258
345,kouroussa,10.65,-9.8833,23.86,91,83,1.75,GN,1688418258
346,nabire,-3.3667,135.4833,24.19,94,100,1.39,ID,1688418259
347,antsiranana,-12.2787,49.2917,22.18,69,5,7.21,MG,1688418259
348,wani,20.0667,78.95,31.06,61,97,1.46,IN,1688418260
349,gilgit,35.9221,74.3087,26.89,41,0,0.52,PK,1688418260
350,sawmills,35.8248,-81.4745,30.56,74,20,3.09,US,1688418260
351,constantia,44.1833,28.65,20.39,80,87,2.62,RO,1688418261
352,nuuk,64.1835,-51.7216,9.34,57,75,9.77,GL,1688418028
353,edson,53.5835,-116.4356,12.08,94,100,5.14,CA,1688418261
354,kapuskasing,49.4169,-82.4331,32.05,40,40,4.12,CA,1688418003
355,nefta,33.8731,7.8777,34.14,43,0,9.41,TN,1688418262
356,bay harbor,30.1471,-85.6146,33.33,69,0,5.14,US,1688418262
357,viqueque,-8.8673,126.3658,24.4,94,100,2.01,TL,1688418262
358,saudarkrokur,65.7461,-19.6394,5.24,88,100,6.23,IS,1688418263
359,santa ines,-3.6667,-45.38,28.17,66,97,0.82,BR,1688418263
360,ajdabiya,30.7554,20.2263,23.99,81,0,5.15,LY,1688418263
361,rio brilhante,-21.8019,-54.5464,21.11,60,0,2.39,BR,1688418264
362,podporozh'ye,60.9112,34.1706,11.86,95,99,3.83,RU,1688418264
363,kone,-21.0595,164.8658,19.35,71,99,1.86,NC,1688418264
